route,pageType,status,title,h1,wordCount,phoneCTA,quoteCTA,adsTag,phoneConversion,quoteConversion,internalLinks,brokenInternalLinks,assets,assetFailures,staleRisky,notes
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/grose-vale,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/grose-wold,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/hobartville,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurmond,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurrajong,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurrajong-heights,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurrajong-hills,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/mcgraths-hill,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/mulgrave,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/north-richmond,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/oakville,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/pitt-town,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/pitt-town-bottoms,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/richmond,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/richmond-lowlands,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/sackville,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/scheyville,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/south-windsor,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/tennyson,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/the-slopes,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/vineyard,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/wheeny-creek,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/wilberforce,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/windsor,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/windsor-downs,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/yarramundi,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district,area-region,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/annangrove,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/baulkham-hills,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/beaumont-hills,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/bella-vista,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/box-hill,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/castle-hill,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district/cattai,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
