file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
service-areas/hills-hawkesbury-and-hornsby/hornsby/berowra-heights/index.html,html,393112,45756,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/huntley/index.html,html,393111,44800,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/lilyvale/index.html,html,393099,45087,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/camden/catherine-field/index.html,html,393096,45208,route html,no,no,no,ok,
service-areas/st-george-and-bayside/georges-river/hurstville-grove/index.html,html,393094,45442,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/minnamurra-and-kiama-downs/croom/index.html,html,393093,45449,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/canada-bay/breakfast-point/index.html,html,393078,44842,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/minchinbury/index.html,html,393076,45185,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/camden/gregory-hills/index.html,html,393068,44951,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/cumberland/guildford-west/index.html,html,393068,45103,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/willow-vale/index.html,html,393068,45056,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/mittagong/index.html,html,393064,44670,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/mount-druitt/index.html,html,393057,45079,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/oatlands/index.html,html,393055,45121,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/mcgraths-hill/index.html,html,393054,45089,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/moss-vale/index.html,html,393054,44701,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/melrose-park/index.html,html,393051,45270,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/beaumont-hills/index.html,html,393047,44923,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/dawes-point/index.html,html,393047,45281,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/cambridge-park/index.html,html,393042,45264,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/claremont-meadows/index.html,html,393041,45061,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/werrington-downs/index.html,html,393037,44911,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/mount-vernon/index.html,html,393031,45262,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/tullimbar/index.html,html,393009,45084,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/marsden-park/index.html,html,393006,45233,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/riverstone/index.html,html,392999,45358,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/berkshire-park/index.html,html,392990,45383,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/bella-vista/index.html,html,392986,45239,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/tuggerah/index.html,html,392983,45073,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/erskineville/index.html,html,392979,44928,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/burwood/strathfield/index.html,html,392978,45009,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/wollongong/index.html,html,392973,44800,route html,no,no,no,ok,
